Gene,Raw p-value,BH Adjusted p-value,Significant (BH)
M89957_at,6.400457649077407e-14,4.5628862580272834e-10,True
M84371_rna1_s_at,2.0509225080380668e-13,7.310513279901689e-10,True
U05259_rna1_at,5.802261178398019e-13,1.3788106646933158e-09,True
Y08612_at,1.736743304505433e-11,3.0953107544548075e-08,True
J03473_at,2.8778756312619017e-11,3.7425820025590754e-08,True
M31523_at,3.1498796486680396e-11,3.7425820025590754e-08,True
X58529_at,6.080815622675325e-11,6.19287636772177e-08,True
D88270_at,2.0495615310756823e-10,1.8264155193798172e-07,True
S46622_at,5.083007433132657e-10,3.8661323641027764e-07,True
M98045_at,5.423106135647042e-10,3.8661323641027764e-07,True
M33680_at,8.384035774003295e-10,5.433617366624499e-07,True
M11722_at,9.58885314492709e-10,5.696577839182102e-07,True
M28170_at,2.2966984260407273e-09,1.2594740830187957e-06,True
U59878_at,2.695820404281468e-09,1.3727502615801846e-06,True
Z49194_at,4.495416967122727e-09,2.136521837241195e-06,True
L06797_s_at,7.92144941469158e-09,3.5295008048335166e-06,True
X66401_cds1_at,9.807213057618002e-09,4.112683640456396e-06,True
Z15115_at,1.1012104966673868e-08,4.361405350412112e-06,True
U79285_at,1.6546114234559558e-08,6.208276230430267e-06,True
U51240_at,2.125974239252947e-08,7.5780351758171305e-06,True
X67951_at,2.410322626368889e-08,7.931205888964854e-06,True
X80230_at,2.4964739366472856e-08,7.931205888964854e-06,True
X82240_rna1_at,2.5588123922877214e-08,7.931205888964854e-06,True
X63469_at,2.8438850355425446e-08,8.4475235076595e-06,True
X76648_at,3.629055699814976e-08,1.0348615233592385e-05,True
L08895_at,5.086136349599065e-08,1.3620724202370388e-05,True
X17093_at,5.257111844390226e-08,1.3620724202370388e-05,True
M55150_at,5.349702309810224e-08,1.3620724202370388e-05,True
U22376_cds2_s_at,6.158458106664525e-08,1.5139188911176345e-05,True
M63838_s_at,6.588315125668932e-08,1.5656032843631275e-05,True
L33930_s_at,8.102811088765578e-08,1.8633851694132195e-05,True
U49020_cds2_s_at,1.0396456839184636e-07,2.316135650204602e-05,True
X74301_s_at,1.2319001635401254e-07,2.6612776563265314e-05,True
D87127_at,1.4447185817603103e-07,3.0292349321674272e-05,True
U18062_at,1.6285257381020207e-07,3.317074281979802e-05,True
Y00636_at,1.710948797602687e-07,3.319097285072954e-05,True
M21535_at,1.722634304217973e-07,3.319097285072954e-05,True
X15949_at,1.817484503379035e-07,3.4096965854181946e-05,True
U18259_at,2.0852421092446234e-07,3.669311912878737e-05,True
Z68228_s_at,2.1033299820085367e-07,3.669311912878737e-05,True
X95735_at,2.1484544404266874e-07,3.669311912878737e-05,True
U50327_s_at,2.1617491982172388e-07,3.669311912878737e-05,True
D23673_at,2.4150454823351223e-07,4.003920754317927e-05,True
M65214_s_at,2.5326340694644767e-07,4.103442791184603e-05,True
X66867_cds1_at,2.8115071104603617e-07,4.454052042327093e-05,True
M60527_at,2.96516095314929e-07,4.5953548771741935e-05,True
M38690_at,3.6868892763603177e-07,5.553008235092359e-05,True
X69819_at,3.738874951387758e-07,5.553008235092359e-05,True
D42043_at,3.93424171419438e-07,5.7239202409166805e-05,True
S76617_at,4.035605062670343e-07,5.7539656983553754e-05,True
M27504_s_at,4.4803332468917884e-07,6.239471245663305e-05,True
X61587_at,4.551164325634617e-07,6.239471245663305e-05,True
D11327_s_at,5.320560468344135e-07,7.156655769589685e-05,True
M29551_at,6.429335957822858e-07,8.487914082096139e-05,True
M81695_s_at,6.840579032739552e-07,8.51116198924878e-05,True
M32304_s_at,6.934172179618587e-07,8.51116198924878e-05,True
X97267_rna1_s_at,7.00238194062985e-07,8.51116198924878e-05,True
X99920_at,7.022515217060362e-07,8.51116198924878e-05,True
U73737_at,7.14099781543571e-07,8.51116198924878e-05,True
Z14982_rna1_at,7.163272820240241e-07,8.51116198924878e-05,True
U48251_at,7.406418408240078e-07,8.655796202023529e-05,True
X59350_at,7.770002947113969e-07,8.934250162899271e-05,True
M74719_at,8.149569470556552e-07,9.221949326285342e-05,True
D80001_at,9.823785831935494e-07,0.00010837844681180721,True
Y07604_at,9.881608981298175e-07,0.00010837844681180721,True
U88964_at,1.0064738638054152e-06,0.00010871442689498189,True
D21261_at,1.1723512923380878e-06,0.00012474167706086908,True
M63138_at,1.218464291524089e-06,0.0001277416460922828,True
J03077_s_at,1.2760074630685502e-06,0.00013060565936522293,True
X15414_at,1.2824233631036056e-06,0.00013060565936522293,True
M92287_at,1.3023467540523712e-06,0.00013076661985407542,True
U19713_s_at,1.38096871052083e-06,0.00013673508246254162,True
Z35102_at,1.4186181738920464e-06,0.0001385387528996767,True
U46499_at,1.4484685176564355e-06,0.00013954232516719903,True
U10485_at,1.4741702604801371e-06,0.0001401247971595053,True
M24069_at,1.6664835061206359e-06,0.0001563205383570265,True
D14658_at,1.7406076206356597e-06,0.0001599393202661041,True
