Gene,Raw p-value,BH Adjusted p-value,Significant (BH)
X62744_at,2.4547352743094227e-15,1.7499807770551872e-11,True
X03100_cds2_at,1.2566327241396611e-14,4.479267345195822e-11,True
M57466_s_at,4.213500572694327e-13,1.0012681860912618e-09,True
HG688-HT688_f_at,1.2714045573356102e-12,2.265960772311391e-09,True
HG3576-HT3779_f_at,1.6683510440474494e-12,2.3787349186028536e-09,True
M33600_f_at,6.1363487711868096e-12,7.291005064965127e-09,True
U78027_rna4_at,1.2235200778690619e-11,1.2460678050183631e-08,True
X00274_at,3.071156130311892e-11,2.7367840066241847e-08,True
M23294_at,6.557540691911952e-11,4.81484438395947e-08,True
U15085_at,6.75388467381045e-11,4.81484438395947e-08,True
M13560_s_at,9.146415783645137e-11,5.927708920146016e-08,True
M89957_at,1.8930691642075947e-10,1.1246408393029952e-07,True
K02405_f_at,2.2121839523123808e-10,1.2131276458488434e-07,True
X58529_at,4.995783338221806e-10,2.543924244155947e-07,True
U90878_at,1.997053334476236e-09,9.491328814320726e-07,True
U05259_rna1_at,4.316920554560631e-09,1.9234579145914207e-06,True
D49410_at,4.619040156867562e-09,1.9370080751946384e-06,True
U56418_at,5.034993037392588e-09,1.994136964642876e-06,True
M60721_at,9.714727074800876e-09,3.6450678587502867e-06,True
U02687_at,1.0357773314166814e-08,3.692028297834761e-06,True
L08895_at,1.54026892839633e-08,5.2288462812083035e-06,True
X17093_at,1.741517853358676e-08,5.643309443906364e-06,True
M84371_rna1_s_at,1.8228048353085305e-08,5.649902465615006e-06,True
V00563_at,1.9867160511832446e-08,5.901374470368896e-06,True
X93920_at,2.5033122507881457e-08,7.138445214347477e-06,True
M74719_at,2.8541704236757842e-08,7.825915750147948e-06,True
U18259_at,3.430129238181147e-08,8.734676039587371e-06,True
D88270_at,3.540646465372839e-08,8.734676039587371e-06,True
X04412_at,3.553171625025021e-08,8.734676039587371e-06,True
U48251_at,5.381247117722241e-08,1.2524683767935402e-05,True
U82275_at,5.4462785356431124e-08,1.2524683767935402e-05,True
X89750_at,6.890900202593671e-08,1.5351633607590713e-05,True
U19261_at,1.0585063071079133e-07,2.286694382840095e-05,True
U49869_rna1_at,1.1690115512644468e-07,2.451142161460071e-05,True
M38690_at,1.2709913834546185e-07,2.5888278778994217e-05,True
Y00264_at,1.736139965844764e-07,3.4380393934742566e-05,True
L33930_s_at,1.8273374392814328e-07,3.5208347580100904e-05,True
D87292_at,2.1521456467155892e-07,4.0375385040619565e-05,True
X82240_rna1_at,2.6210218286894243e-07,4.791093491468437e-05,True
Z49194_at,6.042116984850966e-07,0.00010732444802234941,True
U36922_at,6.172397768153073e-07,0.00010732444802234941,True
X79882_at,8.54847744096629e-07,0.00014510022780154448,True
M34996_s_at,9.155316785967461e-07,0.0001517866357375861,True
U68142_at,1.1599024420851622e-06,0.0001879305570369346,True
L02326_f_at,1.2703777676565118e-06,0.0001986786797243626,True
X69398_at,1.2819777342293e-06,0.0001986786797243626,True
D38549_at,1.352798885364412e-06,0.00020519368625027435,True
HG3075-HT3236_s_at,1.5386566515720451e-06,0.00022852256810535645,True
X74301_s_at,1.668251671574919e-06,0.00024271359523791015,True
M55531_at,1.9577694207215134e-06,0.0002791387640064734,True
X85116_rna1_s_at,2.133905977168054e-06,0.000298286582573158,True
D16469_at,2.3871095455510324e-06,0.0003272635375044867,True
Y00433_at,3.199836110619196e-06,0.0004304081440114009,True
X07743_at,3.607074569176161e-06,0.0004762006408084602,True
X91809_at,4.081713363277405e-06,0.000529064264850993,True
X03068_f_at,4.215353348139952e-06,0.0005366295360516021,True
M61826_s_at,5.937238895438613e-06,0.0007425715102733662,True
L11373_at,6.093237323866917e-06,0.0007489429117559872,True
