Gene,Raw p-value,BH Adjusted p-value,Significant (BH)
Y08612_at,1.5843248741346457e-13,1.0853620465423144e-09,True
M31211_s_at,5.09844029146371e-13,1.0853620465423144e-09,True
M31523_at,5.172744008721924e-13,1.0853620465423144e-09,True
X59417_at,6.089841753639021e-13,1.0853620465423144e-09,True
M92287_at,2.7347664637369348e-12,3.899230023996122e-09,True
J05243_at,9.099406612701558e-12,1.0811611623658234e-08,True
HG1612-HT1612_at,2.5111093881547684e-11,2.1874231413948825e-08,True
M84371_rna1_s_at,2.620625316592908e-11,2.1874231413948825e-08,True
S50223_at,2.761510488505252e-11,2.1874231413948825e-08,True
U05259_rna1_at,3.388731500113288e-11,2.415826686430763e-08,True
U22376_cds2_s_at,8.028733429014654e-11,5.203349146858679e-08,True
M89957_at,1.4507267529085722e-10,8.618525851237676e-08,True
M11722_at,1.869620540496394e-10,1.0252711410152917e-07,True
U29175_at,2.279532889538403e-10,1.1607707121085197e-07,True
X15414_at,3.046248986929034e-10,1.360963430275577e-07,True
M31303_rna1_at,3.054483782355061e-10,1.360963430275577e-07,True
X97267_rna1_s_at,5.636734393023285e-10,2.3637811463448823e-07,True
M33680_at,6.007274283204376e-10,2.379214353609111e-07,True
M65214_s_at,6.872574334785544e-10,2.5786622332992704e-07,True
Z15115_at,7.89488611203481e-10,2.814132154634808e-07,True
X66401_cds1_at,1.0936395751183152e-09,3.7126459671516516e-07,True
J03473_at,1.4445233989635373e-09,4.680912414186844e-07,True
U77948_at,1.5284427929954902e-09,4.7375081179412393e-07,True
D26156_s_at,1.8119855083103665e-09,5.216965215652009e-07,True
L47738_at,1.8294870303170185e-09,5.216965215652009e-07,True
D88270_at,2.0969418582779754e-09,5.545948672587624e-07,True
X95735_at,2.1004434585477045e-09,5.545948672587624e-07,True
X17042_at,2.91827100389073e-09,7.430126423834648e-07,True
L07633_at,4.732654090887639e-09,1.1634169315151028e-06,True
M91432_at,5.31302281706498e-09,1.227118836913658e-06,True
U62136_at,5.3360476847136205e-09,1.227118836913658e-06,True
S46622_at,1.102070952332867e-08,2.4552074434940652e-06,True
L06797_s_at,1.1974420818390053e-08,2.5426383884475755e-06,True
X51521_at,1.212648410818033e-08,2.5426383884475755e-06,True
M55150_at,1.9595745310816044e-08,3.918502411259548e-06,True
X56468_at,2.0329954834673495e-08,3.918502411259548e-06,True
M60527_at,2.0590650223648356e-08,3.918502411259548e-06,True
U46499_at,2.0886953517725184e-08,3.918502411259548e-06,True
X74262_at,2.5194448287665006e-08,4.605415944686252e-06,True
U94855_at,2.8471725749541775e-08,5.074373321712083e-06,True
X68560_at,3.291716438001273e-08,5.6760781046475405e-06,True
M63838_s_at,3.344021326906954e-08,5.6760781046475405e-06,True
U18271_cds3_s_at,3.8183943282626636e-08,6.330542596787099e-06,True
M28170_at,4.282016296983678e-08,6.910174699805652e-06,True
X76648_at,4.442033604579645e-08,6.910174699805652e-06,True
Z49194_at,4.5199874806808075e-08,6.910174699805652e-06,True
X75755_rna1_s_at,4.5557330746369145e-08,6.910174699805652e-06,True
L76703_at,4.8893863678140944e-08,7.261757378363891e-06,True
M62762_at,5.009065066274127e-08,7.28767854234046e-06,True
D42043_at,5.8148998950839594e-08,8.29088427041071e-06,True
U18062_at,6.23296255232103e-08,8.600222752046049e-06,True
M27504_s_at,6.273132039646438e-08,8.600222752046049e-06,True
D38073_at,6.922648512762138e-08,9.31161532971345e-06,True
D86967_at,7.495736387541193e-08,9.895760130885401e-06,True
D63874_at,7.652866196805835e-08,9.919506021277963e-06,True
X99585_at,8.280692272381683e-08,1.054161700175161e-05,True
Z93784_at,8.992559078625716e-08,1.1208685643082742e-05,True
X66867_cds1_at,9.247165916867048e-08,1.1208685643082742e-05,True
M29696_at,9.27637049995626e-08,1.1208685643082742e-05,True
X62153_s_at,1.1213903601426564e-07,1.332398646242833e-05,True
U90549_at,1.1809068568614877e-07,1.3713251938876036e-05,True
X82240_rna1_at,1.1926239587744625e-07,1.3713251938876036e-05,True
D14658_at,1.2559140682817762e-07,1.421176411552505e-05,True
L09209_s_at,1.3821294816197831e-07,1.5395626678855365e-05,True
M83233_at,1.4527689499410698e-07,1.59335228371229e-05,True
L09717_at,1.5753340668380327e-07,1.6830540182478538e-05,True
U26312_s_at,1.5817733093365997e-07,1.6830540182478538e-05,True
X78669_at,1.6624946532991286e-07,1.7429300563778658e-05,True
S76617_at,1.795894352883596e-07,1.8287111653853704e-05,True
Z14982_rna1_at,1.817976555905149e-07,1.8287111653853704e-05,True
L20010_at,1.821272166395866e-07,1.8287111653853704e-05,True
U51990_at,1.8744234019506915e-07,1.855939504514789e-05,True
X58529_at,1.9585174331133368e-07,1.912639832967805e-05,True
X67951_at,2.2291316079478507e-07,2.1474971936567875e-05,True
S72008_at,2.3196697106723152e-07,2.174679992492049e-05,True
D63880_at,2.3401044640179232e-07,2.174679992492049e-05,True
U79285_at,2.3488618238446876e-07,2.174679992492049e-05,True
U94319_at,2.4427497878203477e-07,2.2326106714578535e-05,True
Z23064_at,2.5268410707313725e-07,2.2802341763599943e-05,True
M23197_at,2.736247285882108e-07,2.4383383626316935e-05,True
J04029_s_at,3.443696130669207e-07,3.0302515200611535e-05,True
HG2855-HT2995_at,3.485490596787973e-07,3.0302515200611535e-05,True
X63469_at,3.793859159771392e-07,3.213178108304524e-05,True
U73737_at,3.844403964450719e-07,3.213178108304524e-05,True
U79291_at,3.92963307417867e-07,3.213178108304524e-05,True
D50918_at,3.963485278904578e-07,3.213178108304524e-05,True
M32304_s_at,4.0262175974230565e-07,3.213178108304524e-05,True
M16038_at,4.040829799007744e-07,3.213178108304524e-05,True
X80230_at,4.052820242547134e-07,3.213178108304524e-05,True
L07758_at,4.056473975977096e-07,3.213178108304524e-05,True
Y07604_at,4.297596658825706e-07,3.366765558326204e-05,True
HG3546-HT3744_s_at,4.5044446002169684e-07,3.490454951624649e-05,True
M22960_at,4.759808155360864e-07,3.616012313333702e-05,True
M96803_at,4.7679219729747225e-07,3.616012313333702e-05,True
U49020_cds2_s_at,4.845444181313575e-07,3.636123323008892e-05,True
X61587_at,5.070882233496014e-07,3.765658275270113e-05,True
M26708_s_at,5.126027647349926e-07,3.76736609257295e-05,True
X69111_at,5.424191559587426e-07,3.920645380362741e-05,True
U38846_at,5.444576976517203e-07,3.920645380362741e-05,True
D84294_at,5.660334157347873e-07,4.0352522207732984e-05,True
U50939_at,6.054281111011436e-07,4.252368754946031e-05,True
S74221_at,6.084185902714198e-07,4.252368754946031e-05,True
Z69881_at,6.249426043373598e-07,4.3254522585641145e-05,True
L38951_at,6.392974083749886e-07,4.3822607926012436e-05,True
M29064_at,6.657755491226826e-07,4.520298942567243e-05,True
HG2846-HT2983_at,6.739833154230817e-07,4.532855712878443e-05,True
L49229_f_at,6.966941389943174e-07,4.6418060905518586e-05,True
L11672_r_at,7.103329943870429e-07,4.688855478690026e-05,True
X14850_at,7.626060518514976e-07,4.9659213897725026e-05,True
L05148_at,7.713137950585198e-07,4.9659213897725026e-05,True
L33930_s_at,7.732042001188775e-07,4.9659213897725026e-05,True
U25435_at,7.846663110116747e-07,4.994541188573419e-05,True
U07139_at,8.075228954884656e-07,5.09454046189139e-05,True
D80006_at,8.673747864716289e-07,5.42413583575109e-05,True
M12959_s_at,8.989200502496367e-07,5.5725226419388344e-05,True
